anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1993,NOX,1.0,500.0,108.89169831795985,35.0,53.0,71.0,62.867277529707586,36860
1994,NOX,1.0,500.0,265.30891667125627,28.0,45.0,60.0,59.32257661448289,18157
1995,NOX,1.0,500.0,186.0257824270161,18.0,31.0,66.0,60.06054338420448,35179
1996,NOX,1.0,500.0,290.80451101321586,28.0,50.0,71.0,69.30864754647656,28375
1997,NOX,1.0,500.0,247.06827465473643,25.0,41.0,66.0,64.25027512336152,30846
1998,NOX,1.0,504.0,542.6088647488768,19.0,41.0,47.0,58.380763434682585,14913
1999,NOX,1.0,500.0,413.8032928942808,28.0,28.0,59.0,50.693991803661,18464
2000,NOX,1.0,500.0,333.7765356364517,29.0,497.0,52.0,55.60584120537997,24778
2001,NOX,1.0,495.0,490.71586484110037,20.0,41.0,488.0,46.539584380200054,15922
