anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2007,O3,0.0,203.0,196.14258695830935,5.0,14.0,34.0,29.193539154997808,24322
2008,O3,0.0,189.0,268.123378746594,6.0,17.0,31.0,28.655402980194275,18350
2009,O3,0.0,198.0,147.36232994826594,4.0,27.0,33.0,28.55517604062819,31314
2010,O3,0.0,208.0,287.80036253776433,3.0,18.0,41.0,27.929142636225386,16550
2011,O3,0.0,184.0,94.1286421791168,3.0,11.0,27.0,28.112469056444525,48460
2012,O3,0.0,177.0,324.40377858418293,11.0,22.0,175.0,26.20923237014944,17361
2013,O3,0.0,184.0,289.3677512586239,30.0,24.0,133.0,27.244987261789426,21452
2014,O3,0.0,185.0,164.72027992002285,6.0,118.0,165.0,26.233900726305123,35010
2015,O3,0.0,179.0,145.73688680299475,20.0,24.0,147.0,26.17553652134615,44745
