anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1996,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1997,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1998,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1999,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2000,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2001,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2002,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2003,PM2.5,1.0,473.0,17.20548912424553,13.0,21.0,28.0,22.919903981698916,43905
2004,PM2.5,1.0,284.0,280.3333855799373,13.0,20.0,30.0,18.504867065060218,6380
