anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2005,PM2.5,1.0,541.0,239.22209041781994,13.0,22.0,29.0,20.93754791000781,7587
2006,PM2.5,1.0,777.0,230.50162733930026,13.0,21.0,27.0,19.82378244317492,7374
2007,PM2.5,1.0,433.0,140.87509136684804,13.0,20.0,26.0,16.736132885126462,12313
2008,PM2.5,1.0,507.0,229.84975339829182,13.0,21.0,290.0,18.071791728197397,8313
2009,PM2.5,1.0,275.0,102.45512778181337,17.0,19.0,247.0,15.06209131298456,15143
2010,PM2.5,1.0,378.0,146.35151972814802,10.0,17.0,25.0,16.554503606670952,10594
2011,PM2.5,1.0,377.0,70.86588435769335,12.0,20.0,26.0,16.802844591021277,25821
2012,PM2.5,1.0,249.0,157.1470428648942,22.0,120.0,122.0,15.756646187894937,14744
2013,PM2.5,1.0,988.0,245.91560316721007,19.0,46.0,220.0,17.623563731680814,10735
