anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2012,PMCO,1.0,816.0,151.7077893630071,17.0,28.0,231.0,19.97151524445695,11413
2013,PMCO,1.0,545.0,241.85267677445324,20.0,31.0,37.0,19.25742756271132,7453
2014,PMCO,1.0,300.0,105.7763120567376,17.0,25.0,71.0,15.860983122902953,14100
2015,PMCO,1.0,559.0,92.24579914028918,10.0,25.0,107.0,15.342412353762873,17913
2016,PMCO,1.0,666.0,58.14063502245029,151.0,17.0,151.0,17.46889255309585,31180
2017,PMCO,1.0,331.0,49.855676074136476,15.0,19.0,217.0,20.651730641923354,37984
1986,O3,1.0,441.0,11.405346869712352,9.0,16.0,26.0,39.56218880851649,59100
1987,O3,1.0,350.0,41.104190664253196,13.0,18.0,26.0,37.140361660141714,36462
1988,O3,1.0,405.0,63.87941158480641,24.0,27.0,39.0,42.692616103404546,32698
