anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1987,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1988,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1989,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1990,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1991,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1992,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1993,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1994,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1995,PM2.5,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
