anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2014,PM2.5,1.0,211.0,125.20325966850828,18.0,25.0,97.0,14.759040486668365,18100
2015,PM2.5,1.0,690.0,125.45751440189767,15.0,25.0,152.0,16.57955603276563,23608
2016,PM2.5,1.0,698.0,56.538068816707124,19.0,19.0,133.0,16.308464017454813,51906
2017,PM2.5,0.0,521.0,47.581952087247096,16.0,27.0,102.0,15.635581449541414,60151
1986,SO2,1.0,491.0,25.015541322425253,30.0,34.0,342.0,37.00933493030785,74318
1987,SO2,1.0,483.0,74.61984614054802,18.0,31.0,42.0,35.42889721098159,46276
1988,SO2,1.0,449.0,92.40059807536649,23.0,36.0,49.0,39.87007887001585,44476
1989,SO2,1.0,452.0,82.78691249480568,23.0,37.0,47.0,34.32564179742119,45723
1990,SO2,1.0,493.0,57.55896629063034,26.0,46.0,55.0,34.43213869596851,59746
