anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2009,SO2,0.0,340.0,26.980874177589637,1.0,3.0,5.0,9.99987747570979,39214
2010,SO2,0.0,344.0,34.72210307004106,1.0,3.0,4.0,10.956053351112356,32638
2011,SO2,0.0,314.0,20.270730029182186,1.0,2.0,4.0,10.32671170415495,42149
2012,SO2,0.0,376.0,46.34295887793652,3.0,122.0,195.0,8.94776578145468,23029
2013,SO2,0.0,348.0,30.819202859886886,3.0,4.0,334.0,12.657318419846666,37484
2014,SO2,0.0,266.0,24.97837508987335,132.0,3.0,163.0,8.66548895466578,36162
2015,SO2,0.0,299.0,17.47079802955665,2.0,67.0,146.0,7.8458399999483825,50750
2016,SO2,0.0,269.0,18.393890146458492,2.0,83.0,181.0,8.602910621667977,51687
2017,SO2,0.0,400.0,28.00414873204377,2.0,2.0,179.0,9.478293521813995,38566
