anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2016,O3,0.0,210.0,182.32005588841264,43.0,132.0,153.0,27.196838837407316,42227
2017,O3,0.0,190.0,175.71012423884193,22.0,36.0,156.0,27.421580716738756,44833
1986,NOX,1.0,460.0,40.3886632767976,36.0,58.0,77.0,63.6714918071568,29303
1987,NOX,1.0,476.0,65.6186007205444,30.0,47.0,63.0,57.04673650030302,22483
1988,NOX,1.0,472.0,55.365516656777146,27.0,43.0,57.0,55.02695723124781,23594
1989,NOX,1.0,452.0,105.37433277851116,30.0,48.0,65.0,55.193402396335664,17423
1990,NOX,4.0,462.0,201.0826094362119,35.0,52.0,68.0,55.094122701527986,11742
1991,NOX,1.0,462.0,145.20852063066084,32.0,52.0,71.0,56.97219476214713,14905
1992,NOX,2.0,474.0,101.55450863707745,41.0,64.0,83.0,60.50637018787834,24198
