anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1991,SO2,1.0,431.0,80.0318100271996,33.0,47.0,67.0,29.00708898202138,51839
1992,SO2,1.0,365.0,79.99349070818684,30.0,36.0,50.0,30.615688876316906,49775
1993,SO2,1.0,301.0,29.172254166260597,7.0,12.0,22.0,18.60014514326489,61566
1994,SO2,1.0,324.0,113.78358566324087,10.0,16.0,19.0,14.247100381682142,27147
1995,SO2,1.0,432.0,133.28281377382663,10.0,15.0,17.0,11.923820063134203,25759
1996,SO2,1.0,368.0,157.02787339835533,8.0,13.0,16.0,13.385410442638427,20916
1997,SO2,1.0,257.0,97.81327443163453,7.0,8.0,14.0,12.993527988039567,27843
1998,SO2,1.0,342.0,488.8369084656951,7.0,9.0,13.0,14.21514028281069,6107
1999,SO2,1.0,288.0,1145.0659003831418,6.0,10.0,15.0,12.729019328858412,2610
