anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2000,SO2,1.0,422.0,207.7341667649487,7.0,13.0,19.0,15.931986359356147,16958
2001,SO2,1.0,498.0,158.4361923096408,4.0,9.0,17.0,19.543419004580134,19739
2002,SO2,1.0,386.0,58.036792970895114,3.0,5.0,11.0,16.446240336378434,38241
2003,SO2,0.0,344.0,100.32522104901709,3.0,6.0,282.0,15.31677416580432,23298
2004,SO2,0.0,412.0,46.917501893180095,3.0,6.0,18.0,17.0928905082557,44898
2005,SO2,0.0,450.0,89.54273302077509,3.0,7.0,12.0,18.982916841224508,23249
2006,SO2,0.0,369.0,54.1129490928025,1.0,4.0,8.0,12.016357565236508,24967
2007,SO2,0.0,283.0,35.13350181298758,2.0,4.0,7.0,11.04224527794922,36404
2008,SO2,0.0,357.0,47.17895756636311,1.0,4.0,7.0,10.555248985294014,25805
