anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2006,NO,0.0,622.0,232.34832967568886,3.0,9.0,18.0,41.597613344879676,16404
2007,NO,0.0,534.0,284.49265619291197,3.0,8.0,17.0,40.619133995312346,13685
2008,NO,0.0,601.0,249.38963963963963,2.0,7.0,20.0,43.0582168853723,15540
2009,NO,0.0,702.0,183.97826695793424,3.0,7.0,593.0,38.11607090595131,17853
2010,NO,0.0,650.0,295.5791785068458,3.0,8.0,16.0,39.903141683951354,11613
2011,NO,0.0,628.0,50.97065025808888,2.0,5.0,10.0,38.80404476751944,63544
2012,NO,0.0,623.0,203.88594367274118,11.0,11.0,430.0,37.706052733230074,23541
2013,NO,0.0,648.0,208.37909972115256,8.0,10.0,529.0,36.4417693923902,22593
2014,NO,0.0,524.0,90.33475155416428,5.0,8.0,366.0,33.79724462486733,45362
