anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1989,O3,1.0,332.0,46.32243282084655,13.0,24.0,329.0,36.579322323195264,36879
1990,O3,2.0,403.0,71.41765330904676,12.0,18.0,36.0,44.45919582781313,39528
1991,O3,1.0,404.0,130.81236257024187,16.0,31.0,56.0,49.93855787701923,32744
1992,O3,1.0,475.0,122.75275678850826,24.0,42.0,57.0,45.53858873415155,37453
1993,O3,1.0,370.0,156.58885272038796,9.0,30.0,48.0,44.491518605686196,30106
1994,O3,1.0,312.0,296.15806697449233,14.0,25.0,37.0,44.485005863067265,22307
1995,O3,1.0,349.0,405.21633280151275,16.0,25.0,43.0,44.068840585382,16923
1996,O3,1.0,323.0,273.56609423985776,11.0,18.0,35.0,42.23256037416468,21371
1997,O3,1.0,318.0,263.03588036614616,7.0,17.0,29.0,40.99541233417713,20429
