anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1995,PM10,1.0,941.0,642.9363989637305,23.0,40.0,759.0,50.852705053139246,7720
1996,PM10,1.0,998.0,469.3655465688318,25.0,44.0,85.0,64.68046557022416,11993
1997,PM10,1.0,1233.0,362.90094590993874,25.0,45.0,83.0,66.44906047409573,15012
1998,PM10,1.0,996.0,1380.2376373626373,31.0,58.0,82.0,68.58607280518108,4368
1999,PM10,1.0,982.0,2325.484595300261,25.0,43.0,58.0,42.80285812832907,1915
2000,PM10,1.0,998.0,146.77450061091693,22.0,46.0,57.0,46.84490229009962,35193
2001,PM10,1.0,804.0,327.4929499889844,28.0,28.0,58.0,42.30857603118889,18156
2002,PM10,1.0,894.0,190.94491793516693,30.0,30.0,54.0,37.7779337250691,26869
2003,PM10,1.0,936.0,244.1085107232717,34.0,37.0,735.0,45.340215064426616,25039
