anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1990,NO2,3.0,344.0,115.2757622210867,24.0,33.0,46.0,25.85248858600811,11742
1991,NO2,1.0,309.0,79.44072458906408,29.0,33.0,42.0,24.810982841023847,14905
1992,NO2,1.0,277.0,49.56508802380362,25.0,203.0,44.0,23.665890301773857,24198
1993,NO2,1.0,310.0,60.03087357569181,25.0,35.0,44.0,25.489356477562882,36860
1994,NO2,1.0,391.0,148.66057168034368,23.0,32.0,40.0,24.96260685584818,18157
1995,NO2,1.0,444.0,95.61016515534835,19.0,29.0,35.0,23.242772172737837,35179
1996,NO2,1.0,463.0,148.20278414096916,21.0,25.0,40.0,27.606568056985466,28375
1997,NO2,1.0,448.0,120.7289762043701,16.0,24.0,37.0,23.601765198118315,30846
1998,NO2,1.0,421.0,276.2001609334138,10.0,18.0,38.0,22.468952768651338,14913
