anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2008,NO2,0.0,183.0,277.8985842985843,18.0,25.0,35.0,17.31956522567131,15540
2009,NO2,0.0,211.0,232.95485352601804,18.0,25.0,162.0,16.093281576883452,17853
2010,NO2,0.0,171.0,350.61861706708,19.0,39.0,33.0,16.246638898429893,11613
2011,NO2,0.0,200.0,61.90310650887574,16.0,22.0,33.0,16.250176485995468,63544
2012,NO2,0.0,165.0,249.04137462299818,21.0,92.0,141.0,15.371109135108487,23541
2013,NO2,0.0,190.0,255.85672553445758,19.0,31.0,152.0,14.720706399157038,22593
2014,NO2,0.0,140.0,114.84165160266302,21.0,23.0,102.0,14.404641009260947,45362
2015,NO2,0.0,136.0,71.14443638473814,21.0,31.0,99.0,13.775536080810156,68930
2016,NO2,0.0,150.0,73.42930184710345,23.0,23.0,80.0,14.092550707584433,65129
