anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
2013,PM10,1.0,1023.0,443.87664088138774,61.0,42.0,457.0,34.335266556892776,17064
2014,PM10,1.0,699.0,204.9644666794946,31.0,151.0,268.0,29.43274171679232,31182
2015,PM10,1.0,742.0,197.2395354809256,29.0,48.0,397.0,29.37336703571069,35047
2016,PM10,1.0,807.0,179.36596006901652,35.0,35.0,535.0,31.330334266177015,40570
2017,PM10,1.0,694.0,132.78350496438193,30.0,52.0,257.0,32.94609125907933,54186
1986,NO2,1.0,309.0,22.499334539125687,26.0,36.0,44.0,27.20057158135747,29303
1987,NO2,1.0,322.0,38.49188275585998,26.0,31.0,39.0,27.533247585055918,22483
1988,NO2,2.0,327.0,33.00072052216665,26.0,28.0,44.0,28.062492962978503,23594
1989,NO2,1.0,277.0,60.77472306721001,21.0,31.0,39.0,25.998124049723735,17423
