anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1997,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1998,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
1999,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2000,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2001,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2002,NO,NaN,NaN,0.0,NaN,NaN,NaN,NaN,0
2003,NO,0.0,435.0,509.19840314995076,4.0,11.0,21.0,41.89835460376704,9143
2004,NO,0.0,596.0,528.571116476946,3.0,8.0,21.0,41.915136657614894,8697
2005,NO,0.0,600.0,625.2120457209847,3.0,8.0,19.0,42.47511754301482,6824
