anio,parametro,minimo,maximo,media,q25,q50,q75,desviacion,num_nulos
1998,O3,1.0,309.0,1792.6831360946746,11.0,15.0,43.0,40.39761211957382,3380
1999,O3,1.0,321.0,2435.6766723842197,10.0,14.0,39.0,37.81316716091154,2332
2000,O3,1.0,282.0,390.73596427867886,8.0,21.0,38.0,39.867336467688936,15229
2001,O3,1.0,271.0,530.7305944900918,7.0,19.0,34.0,35.73461859849913,10345
2002,O3,1.0,284.0,417.8781495906526,6.0,17.0,30.0,35.26269232482844,12581
2003,O3,0.0,243.0,364.11400293255133,4.0,15.0,209.0,33.629602619719776,13640
2004,O3,0.0,226.0,298.21939117607616,4.0,19.0,24.0,30.251930424654837,14914
2005,O3,0.0,222.0,312.14375947448207,8.0,21.0,34.0,31.670425657371975,15832
2006,O3,0.0,211.0,277.6180810696862,15.0,12.0,36.0,29.648430535493972,16603
