id_parameter,fech_d,prom_val
PM2.5,2003-11-22,42.93582887700535
PM2.5,2003-11-26,42.64705882352941
PM2.5,2003-11-27,42.89473684210526
PM2.5,2003-11-29,47.317460317460316
PM2.5,2003-12-05,46.65608465608466
PM2.5,2003-12-08,44.98429319371728
PM2.5,2003-12-09,53.473118279569896
PM2.5,2003-12-10,41.931937172774866
PM2.5,2003-12-11,48.164021164021165
PM2.5,2003-12-12,44.52197802197802
PM2.5,2003-12-16,43.11052631578947
PM2.5,2003-12-17,41.952127659574465
PM2.5,2003-12-18,43.547486033519554
PM2.5,2003-12-19,41.26881720430107
PM2.5,2003-12-20,59.294117647058826
PM2.5,2003-12-21,65.17368421052632
PM2.5,2003-12-23,60.97076023391813
PM2.5,2003-12-24,49.69714285714286
PM2.5,2003-12-26,64.16666666666667
PM2.5,2003-12-27,55.56521739130435
PM2.5,2003-12-28,54.21465968586387
PM2.5,2003-12-29,51.5668449197861
PM2.5,2003-12-30,43.33888888888889
PM2.5,2003-12-31,41.30120481927711
PM2.5,2004-01-02,53.34355828220859
PM2.5,2004-01-03,40.82183908045977
PM2.5,2004-01-11,57.29940119760479
PM2.5,2004-01-12,43.21951219512195
PM2.5,2004-01-13,43.56603773584906
PM2.5,2004-01-14,46.86904761904762
PM2.5,2004-01-23,40.622950819672134
PM2.5,2004-02-03,45.95628415300546
PM2.5,2004-02-07,51.265957446808514
PM2.5,2004-02-27,40.68852459016394
PM2.5,2004-03-06,44.2962962962963
PM2.5,2004-03-07,43.91803278688525
PM2.5,2004-03-11,46.56395348837209
PM2.5,2004-03-12,40.73255813953488
PM2.5,2004-03-17,46.629834254143645
PM2.5,2004-04-21,45.40340909090909
PM2.5,2004-04-30,44.252631578947366
PM2.5,2004-05-05,40.56020942408377
PM2.5,2004-05-11,41.33532934131737
PM2.5,2004-05-24,41.10843373493976
PM2.5,2004-10-25,40.804597701149426
PM2.5,2004-11-20,40.83132530120482
PM2.5,2004-11-21,41.267080745341616
PM2.5,2004-11-22,41.58227848101266
PM2.5,2004-11-30,43.01526717557252
PM2.5,2004-12-03,54.88513513513514
PM2.5,2004-12-04,40.79761904761905
PM2.5,2004-12-05,48.295597484276726
PM2.5,2004-12-06,59.99386503067485
PM2.5,2004-12-08,49.772413793103446
PM2.5,2004-12-09,42.86363636363637
PM2.5,2004-12-10,47.83606557377049
PM2.5,2004-12-12,47.765625
PM2.5,2004-12-13,41.54891304347826
PM2.5,2004-12-16,43.22222222222222
PM2.5,2004-12-19,41.885245901639344
PM2.5,2004-12-29,44.20670391061452
PM2.5,2004-12-30,56.51336898395722
PM2.5,2004-12-31,62.7037037037037
PM2.5,2005-01-02,45.8969696969697
PM2.5,2005-01-05,58.83157894736842
PM2.5,2005-01-06,47.976331360946745
PM2.5,2005-01-07,49.13636363636363
PM2.5,2005-01-11,46.016216216216215
PM2.5,2005-01-12,43.201149425287355
PM2.5,2005-01-14,53.42307692307692
PM2.5,2005-01-15,48.853403141361255
PM2.5,2005-01-20,44.301587301587304
PM2.5,2005-01-21,54.16577540106952
PM2.5,2005-01-22,46.87301587301587
PM2.5,2005-01-27,40.875
PM2.5,2005-01-28,44.93604651162791
PM2.5,2005-01-29,45.82142857142857
PM2.5,2005-01-31,40.65806451612903
PM2.5,2005-02-19,41.058510638297875
PM2.5,2005-02-20,47.252808988764045
PM2.5,2005-02-23,41.92777777777778
PM2.5,2005-03-23,40.68617021276596
PM2.5,2005-03-28,41.354651162790695
PM2.5,2005-03-29,43.166666666666664
PM2.5,2005-04-06,45.12777777777778
PM2.5,2005-04-07,55.938202247191015
PM2.5,2005-04-08,41.351063829787236
PM2.5,2005-04-09,50.68783068783069
PM2.5,2005-04-12,49.85454545454545
PM2.5,2005-04-13,47.75
PM2.5,2005-04-14,52.17575757575757
PM2.5,2005-04-15,57.19375
PM2.5,2005-04-16,55.072463768115945
PM2.5,2005-04-21,44.59509202453988
PM2.5,2005-04-23,45.666666666666664
PM2.5,2005-04-28,44.34615384615385
PM2.5,2005-04-30,40.91729323308271
PM2.5,2005-05-01,47.138888888888886
PM2.5,2005-05-02,44.40939597315436
PM2.5,2005-05-05,43.45238095238095
PM2.5,2005-05-06,46.579268292682926
PM2.5,2005-05-07,44.46060606060606
PM2.5,2005-05-08,50.69032258064516
PM2.5,2005-05-09,53.296
PM2.5,2005-05-10,41.6
PM2.5,2005-05-13,42.76373626373626
PM2.5,2005-05-14,52.97727272727273
PM2.5,2005-05-15,56.147239263803684
PM2.5,2005-05-16,41.292397660818715
PM2.5,2005-05-17,49.42483660130719
PM2.5,2005-05-18,44.69426751592356
PM2.5,2005-06-04,41.58024691358025
PM2.5,2005-06-09,42.56962025316456
PM2.5,2005-10-26,45.87845303867403
PM2.5,2005-11-21,49.348387096774196
PM2.5,2005-11-24,49.35947712418301
PM2.5,2005-12-02,43.48936170212766
PM2.5,2005-12-03,44.9375
PM2.5,2005-12-09,48.10909090909091
PM2.5,2005-12-10,44.605839416058394
PM2.5,2005-12-18,59.0974025974026
PM2.5,2005-12-19,48.41463414634146
PM2.5,2005-12-20,46.923497267759565
PM2.5,2005-12-26,42.32631578947368
PM2.5,2005-12-27,43.666666666666664
PM2.5,2005-12-28,54.87356321839081
PM2.5,2005-12-29,45.93956043956044
PM2.5,2006-01-08,46.304054054054056
PM2.5,2006-01-09,47.789855072463766
PM2.5,2006-01-10,40.86666666666667
PM2.5,2006-01-11,41.02424242424242
PM2.5,2006-01-12,51.602409638554214
PM2.5,2006-01-13,51.84567901234568
PM2.5,2006-01-15,41.515151515151516
PM2.5,2006-01-19,52.44578313253012
PM2.5,2006-01-20,44.76
PM2.5,2006-01-21,44.924050632911396
PM2.5,2006-01-28,40.98802395209581
PM2.5,2006-02-06,43.30120481927711
PM2.5,2006-02-09,42.18125
PM2.5,2006-02-12,48.10625
PM2.5,2006-02-16,44.71621621621622
PM2.5,2006-02-24,49.778443113772454
PM2.5,2006-02-25,40.74233128834356
PM2.5,2006-03-09,48.0
PM2.5,2006-03-10,41.18888888888889
PM2.5,2006-03-11,42.548022598870055
PM2.5,2006-03-12,46.333333333333336
PM2.5,2006-03-13,43.6
PM2.5,2006-03-14,45.032085561497325
PM2.5,2006-03-16,49.15263157894737
PM2.5,2006-03-17,41.86910994764398
PM2.5,2006-03-18,47.95530726256983
PM2.5,2006-03-21,40.82105263157895
PM2.5,2006-03-22,45.94054054054054
PM2.5,2006-04-06,46.702127659574465
PM2.5,2006-04-20,45.12432432432433
PM2.5,2006-05-05,41.702127659574465
PM2.5,2006-05-08,42.8563829787234
PM2.5,2006-06-10,41.37967914438503
PM2.5,2006-11-26,47.37696335078534
PM2.5,2006-11-27,44.43888888888889
PM2.5,2006-12-05,47.02824858757062
PM2.5,2006-12-06,45.207142857142856
PM2.5,2006-12-19,45.772222222222226
PM2.5,2006-12-20,46.03825136612022
PM2.5,2006-12-27,47.481283422459896
PM2.5,2007-01-01,59.08465608465608
PM2.5,2007-03-10,45.75796178343949
PM2.5,2007-04-15,41.23118279569893
PM2.5,2007-04-28,47.35294117647059
PM2.5,2007-05-19,43.037974683544306
PM2.5,2007-06-15,42.05347593582888
PM2.5,2007-11-09,44.180952380952384
PM2.5,2007-11-13,44.193236714975846
PM2.5,2007-11-14,46.04245283018868
PM2.5,2007-11-21,41.64921465968586
PM2.5,2007-12-08,46.06572769953052
PM2.5,2007-12-10,42.791469194312796
PM2.5,2007-12-11,43.61578947368421
PM2.5,2007-12-12,56.310344827586206
PM2.5,2007-12-14,48.60344827586207
PM2.5,2007-12-15,56.375
PM2.5,2007-12-18,45.518716577540104
PM2.5,2007-12-19,41.6972972972973
PM2.5,2007-12-20,49.93296089385475
PM2.5,2007-12-21,44.403141361256544
PM2.5,2007-12-22,46.99047619047619
PM2.5,2008-01-01,57.1025641025641
PM2.5,2008-01-04,44.13809523809524
PM2.5,2008-01-05,57.609756097560975
PM2.5,2008-01-06,41.539906103286384
PM2.5,2008-01-27,41.05820105820106
PM2.5,2008-01-29,41.76966292134831
PM2.5,2008-01-30,42.605555555555554
PM2.5,2008-02-02,40.95049504950495
PM2.5,2008-02-19,45.747191011235955
PM2.5,2008-02-23,43.244680851063826
PM2.5,2008-02-26,42.367231638418076
PM2.5,2008-03-30,42.25966850828729
PM2.5,2008-04-05,47.93010752688172
PM2.5,2008-04-18,42.49214659685864
PM2.5,2008-04-19,42.68279569892473
PM2.5,2008-05-03,46.4622641509434
PM2.5,2008-05-06,42.75728155339806
PM2.5,2008-05-07,50.94607843137255
PM2.5,2008-05-08,50.61616161616162
PM2.5,2008-05-12,41.724489795918366
PM2.5,2008-05-16,42.0377358490566
PM2.5,2008-05-26,44.26543209876543
PM2.5,2008-11-28,41.43564356435643
PM2.5,2008-12-04,42.2877358490566
PM2.5,2008-12-06,42.402010050251256
PM2.5,2008-12-11,41.43283582089552
PM2.5,2008-12-13,43.74111675126903
PM2.5,2008-12-17,45.88108108108108
PM2.5,2008-12-18,43.05882352941177
PM2.5,2008-12-20,40.738461538461536
