f.origin_airport,ae.airport,cuenta
GRK,Killeen-Fort Hood Regional Airport,4
EVV,Evansville Regional Airport,4
BLI,Bellingham International Airport,4
AVP,Wilkes-Barre/Scranton International Airport,4
SHV,Shreveport Regional Airport,4
KTN,Ketchikan International Airport,4
CHA,Chattanooga Metropolitan Airport (Lovell Field),4
MOB,Mobile Regional Airport,4
BQN,Rafael Hernández Airport,4
CWA,Central Wisconsin Airport,3
SIT,Sitka Rocky Gutierrez Airport,3
HRL,Valley International Airport,3
AEX,Alexandria International Airport,3
GTF,Great Falls International Airport,3
SCE,University Park Airport,3
ILM,Wilmington International Airport,3
INL,Falls International Airport,3
ISN,Sloulin Field International Airport,3
TLH,Tallahassee International Airport,3
LRD,Laredo International Airport,3
DRO,Durango-La Plata County Airport,3
MFR,Rogue Valley International Airport,3
ROA,Roanoke Regional Airport (Woodrum Field),3
BRW,Wiley Post-Will Rogers Memorial Airport,3
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,3
GPT,Gulfport-Biloxi International Airport,3
MRY,Monterey Regional Airport (Monterey Peninsula Airport),3
ABE,Lehigh Valley International Airport,3
HLN,Helena Regional Airport,3
IDA,Idaho Falls Regional Airport,3
SUN,Friedman Memorial Airport,3
COD,Yellowstone Regional Airport,3
ACK,Nantucket Memorial Airport,3
SBP,San Luis Obispo County Regional Airport (McChesney Field),3
ITO,Hilo International Airport,3
ELM,Elmira/Corning Regional Airport,3
SAF,Santa Fe Municipal Airport,3
RKS,Rock Springs-Sweetwater County Airport,3
AVL,Asheville Regional Airport,3
MLU,Monroe Regional Airport,3
CHO,Charlottesville-Albemarle Airport,3
EYW,Key West International Airport,3
WRG,Wrangell Airport,2
CDV,Merle K. (Mudhole) Smith Airport,2
BGR,Bangor International Airport,2
GNV,Gainesville Regional Airport,2
SGU,St. George Regional Airport,2
ILG,Wilmington Airport,2
JMS,Jamestown Regional Airport,2
LSE,La Crosse Regional Airport,2
MEI,Meridian Regional Airport,2
MFE,McAllen-Miller International Airport (McAllen Miller International),2
PSE,Mercedita Airport,2
PLN,Pellston Regional Airport of Emmet County,2
OME,Nome Airport,2
PHF,Newport News/Williamsburg International Airport,2
OTH,Southwest Oregon Regional Airport (North Bend Municipal),2
OTZ,Ralph Wien Memorial Airport,2
YAK,Yakutat Airport,2
BRO,Brownsville/South Padre Island International Airport,2
COU,Columbia Regional Airport,2
DAB,Daytona Beach International Airport,2
DLH,Duluth International Airport,2
DVL,Devils Lake Regional Airport,2
ERI,Erie International Airport,2
