anio,fases
1986,28
1987,37
1988,72
1989,37
1990,59
1991,25
1992,9
1993,3
1994,4
1995,5
1996,3
1997,2
1998,6
1999,2
2000,9
2001,15
2002,8
2003,5
2004,6
2005,14
2006,2
2007,5
2008,4
2010,3
2011,5
2013,7
2014,2
2015,2
2016,1
2017,2
