cod,aerolinea,AIRLINE,AIRPORT,IATA_CODE
VX,Virgin America,VX,Honolulu International Airport,HNL
AS,Alaska Airlines Inc.,AS,Honolulu International Airport,HNL
UA,United Air Lines Inc.,UA,Honolulu International Airport,HNL
US,US Airways Inc.,US,Honolulu International Airport,HNL
HA,Hawaiian Airlines Inc.,HA,Honolulu International Airport,HNL
DL,Delta Air Lines Inc.,DL,Honolulu International Airport,HNL
AA,American Airlines Inc.,AA,Honolulu International Airport,HNL
