aa.day_of_week,aa.max_delay,b.airline
3,14.282200834726739,UA
6,15.780295269659536,NK
5,15.786104837751099,NK
1,18.795626679697044,NK
4,14.88742760925581,UA
2,15.714659197012137,NK
7,17.149202320522118,NK
