destination_airport,airline_code,airline_name
Honolulu International Airport,AS,Alaska Airlines Inc.
Honolulu International Airport,HA,Hawaiian Airlines Inc.
Honolulu International Airport,UA,United Air Lines Inc.
Honolulu International Airport,US,US Airways Inc.
Honolulu International Airport,VX,Virgin America
Honolulu International Airport,AA,American Airlines Inc.
Honolulu International Airport,DL,Delta Air Lines Inc.
