al.airline,f.day_of_week,fdelay
Hawaiian Airlines Inc.,6,0.18781973203410476
Alaska Airlines Inc.,2,0.23741007194244604
Hawaiian Airlines Inc.,7,0.6056957629080806
Hawaiian Airlines Inc.,1,0.8798889146031011
Virgin America,6,1.0
Hawaiian Airlines Inc.,4,1.0372685185185184
Alaska Airlines Inc.,7,1.2083333333333333
Virgin America,7,1.25
Alaska Airlines Inc.,4,1.3870967741935485
Virgin America,3,1.6666666666666667
