codigo_aerolinea,nombre,destino
AS,Alaska Airlines Inc.,Honolulu International Airport
HA,Hawaiian Airlines Inc.,Honolulu International Airport
US,US Airways Inc.,Honolulu International Airport
VX,Virgin America,Honolulu International Airport
UA,United Air Lines Inc.,Honolulu International Airport
DL,Delta Air Lines Inc.,Honolulu International Airport
AA,American Airlines Inc.,Honolulu International Airport
